,anno,giornata,Home Team,Away Team,scorer,numero_goal_partita,team_goal,goal,goal_home,goal_away,assist
4416,2024,10,Cagliari Calcio,Bologna FC 1909,Riccardo Orsolini,1.0,away,0:1,0.0,1.0,Dan Ndoye
4417,2024,10,Cagliari Calcio,Bologna FC 1909,Jens Odgaard,2.0,away,0:2,0.0,2.0,Jhon Lucumí
4418,2024,11,Bologna FC 1909,US Lecce,Riccardo Orsolini,1.0,home,1:0,1.0,0.0,Juan Miranda
4424,2024,13,SS Lazio,Bologna FC 1909,Samuel Gigot,1.0,home,1:0,1.0,0.0,Senza assist
4425,2024,13,SS Lazio,Bologna FC 1909,Mattia Zaccagni,2.0,home,2:0,2.0,0.0,Luca Pellegrini
4426,2024,13,SS Lazio,Bologna FC 1909,Fisayo Dele-Bashiru,3.0,home,3:0,3.0,0.0,Gustav Isaksen
4427,2024,14,Bologna FC 1909,Venezia FC,Dan Ndoye,1.0,home,1:0,1.0,0.0,Dan Ndoye
4428,2024,14,Bologna FC 1909,Venezia FC,Riccardo Orsolini,2.0,home,2:0,2.0,0.0,Thijs Dallinga
4429,2024,14,Bologna FC 1909,Venezia FC,Dan Ndoye,3.0,home,3:0,3.0,0.0,Riccardo Orsolini
4435,2024,17,Torino FC,Bologna FC 1909,Thijs Dallinga,1.0,away,0:1,0.0,1.0,Juan Miranda
4436,2024,17,Torino FC,Bologna FC 1909,Tommaso Pobega,2.0,away,0:2,0.0,2.0,Senza assist
4437,2024,18,Bologna FC 1909,Hellas Verona FC,Benja Domínguez,1.0,home,1:0,1.0,0.0,Santiago Castro
4438,2024,18,Bologna FC 1909,Hellas Verona FC,Amin Sarr,2.0,away,1:1,1.0,1.0,Casper Tengstedt
4439,2024,18,Bologna FC 1909,Hellas Verona FC,Casper Tengstedt,3.0,away,1:2,1.0,2.0,Suat Serdar
4440,2024,18,Bologna FC 1909,Hellas Verona FC,Benja Domínguez,4.0,home,2:2,2.0,2.0,Jens Odgaard
4441,2024,18,Bologna FC 1909,Hellas Verona FC,Santiago Castro,5.0,away,2:3,2.0,3.0,Ondrej Duda
